uid,chroma_stft,rms,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0,0.41757699847221375,0.021820999681949615,1209.121396,863.792101,2143.338322,0.118059,-467.42724609375,117.87737274169922,-0.2338789999485016,20.6762752532959,30.42177963256836,6.214738845825195,12.692837715148926,10.867514610290527,16.30635643005371,38.90639114379883,24.7101993560791,10.917818069458008,27.57119369506836,25.212244033813477,16.814592361450195,24.0416202545166,21.311859130859375,20.150495529174805,24.572704315185547,18.395118713378906,0
1,0.5806859731674194,9.600000339560211e-05,1407.625222,1023.537231,2675.883187,0.156486,-853.4066772460938,168.550537109375,4.104618072509766,46.021575927734375,55.313045501708984,15.39692211151123,43.263755798339844,47.85881042480469,28.52973747253418,45.716854095458984,42.712318420410156,32.88068771362305,46.723541259765625,38.761207580566406,32.1652946472168,44.894710540771484,38.07326889038086,35.66508865356445,46.70003890991211,40.07469177246094,0
2,0.24135300517082214,0.010425000451505184,341.257453,350.496411,646.431108,0.012113,-540.73046875,62.253944396972656,36.189903259277344,36.646907806396484,34.25541305541992,24.401365280151367,25.27508544921875,27.456880569458008,25.699453353881836,26.05082130432129,22.89996337890625,20.151704788208008,25.13723373413086,26.459186553955078,22.038888931274414,23.320388793945312,26.106958389282227,24.299585342407227,24.70644760131836,27.38034439086914,0
3,0.57225102186203,0.05380500108003616,1363.687701,976.481397,2581.714659,0.1054,-407.4245910644531,120.28150177001953,-2.5468618869781494,19.523395538330078,26.101211547851562,4.286156177520752,21.53663444519043,15.841023445129395,5.995450019836426,27.711090087890625,20.96741485595703,5.2398362159729,18.22029685974121,18.286048889160156,12.68053913116455,21.073434829711914,17.35942840576172,13.906257629394531,21.480247497558594,19.481491088867188,0
4,0.32705000042915344,0.0033130000811070204,1146.571643,948.233472,2090.746103,0.097369,-591.897216796875,185.1750030517578,17.976524353027344,50.39409255981445,44.68703079223633,4.278205871582031,29.726436614990234,21.023456573486328,5.212825775146484,30.022653579711914,20.902542114257812,12.2210111618042,29.114601135253906,17.745315551757812,16.42005157470703,30.379976272583008,17.035673141479492,18.056167602539062,27.956287384033203,13.569328308105469,0
5,0.3318819999694824,0.0401730015873909,1130.522561,710.650517,1852.914479,0.09007,-402.83599853515625,123.74044799804688,-4.258265972137451,10.296021461486816,31.603124618530273,7.1032538414001465,3.821242094039917,6.550171852111816,8.23474407196045,20.77782440185547,18.351125717163086,14.379783630371094,23.929834365844727,21.64556884765625,17.15491485595703,22.366025924682617,19.345121383666992,16.728456497192383,21.2549991607666,19.811594009399414,0
6,0.49647200107574463,0.01838500052690506,1158.673342,872.881197,2143.30579,0.085607,-395.3539733886719,116.75505065917969,9.26645278930664,12.180754661560059,33.27189254760742,17.293781280517578,12.240342140197754,17.511886596679688,16.67066764831543,17.33252716064453,15.956640243530273,14.338970184326172,13.603405952453613,8.578116416931152,10.998262405395508,18.24955177307129,13.559012413024902,9.599630355834961,16.697145462036133,21.24990463256836,0
7,0.42879700660705566,0.09050200134515762,1256.653741,934.528424,2340.367204,0.096136,-305.17431640625,137.3710174560547,-31.97684669494629,33.37430953979492,37.61745071411133,-13.944493293762207,9.449861526489258,-1.8890360593795776,-15.179945945739746,24.27937126159668,17.88551139831543,0.9215250015258789,18.955589294433594,12.891279220581055,12.457240104675293,25.53213119506836,9.00040340423584,6.320576190948486,16.919050216674805,5.189389228820801,0
8,0.3983190059661865,0.0880419984459877,1050.520139,910.350213,2093.238569,0.075765,-307.0588073730469,170.51553344726562,-5.546753883361816,24.634475708007812,27.57313346862793,-14.661782264709473,7.082894802093506,8.263344764709473,-4.061045169830322,15.985865592956543,7.127227783203125,-1.087175965309143,18.932661056518555,9.87723159790039,1.765172004699707,15.603041648864746,6.400469779968262,1.3278640508651733,12.304265975952148,5.022363185882568,0
9,0.42201799154281616,0.05612200126051903,1065.708547,932.429109,2120.267599,0.06473,-340.2554016113281,105.35612487792969,5.2576398849487305,17.14911651611328,26.427244186401367,6.612040042877197,15.104873657226562,15.798821449279785,4.690455913543701,15.637624740600586,19.677038192749023,11.020933151245117,14.548911094665527,15.963418960571289,11.234190940856934,11.827713966369629,10.342495918273926,9.86976432800293,13.083403587341309,10.653618812561035,1
10,0.25895199179649353,0.0973920002579689,1378.436935,860.942637,2239.687182,0.112337,-324.48968505859375,124.07228088378906,-41.735633850097656,12.834136962890625,26.84258460998535,-10.262458801269531,14.31535530090332,10.04751968383789,-0.8389260172843933,21.566648483276367,7.358675956726074,2.1172759532928467,26.256956100463867,15.302849769592285,13.617217063903809,31.677793502807617,17.37061882019043,12.978333473205566,25.063013076782227,15.905394554138184,0
11,0.48453500866889954,0.01984499953687191,1322.771962,821.087573,2262.361624,0.120258,-471.84747314453125,99.9500961303711,-7.198706150054932,24.202871322631836,36.9334831237793,11.964925765991211,22.403316497802734,21.614107131958008,15.357690811157227,29.77411460876465,23.612741470336914,14.758476257324219,24.439586639404297,20.866695404052734,18.43257713317871,26.802001953125,22.1712589263916,19.57373046875,24.20025634765625,21.988235473632812,0
12,0.34861499071121216,0.03826899826526642,1666.407189,804.470969,2595.938469,0.146992,-433.0425720214844,101.00691986083984,-39.83995819091797,22.58962059020996,39.4697151184082,-5.25998592376709,11.039658546447754,17.114789962768555,13.440640449523926,30.5350341796875,18.269287109375,17.670207977294922,40.31916427612305,25.97736358642578,17.80868911743164,32.6541748046875,21.455570220947266,16.966707229614258,29.527114868164062,22.2978572845459,0
13,0.5116779804229736,0.003010000102221966,1106.367622,983.849036,2316.927482,0.082765,-672.4545288085938,64.77500915527344,29.5838680267334,34.46419906616211,37.20252990722656,31.09646987915039,34.635986328125,35.05958557128906,33.30147933959961,35.723995208740234,34.15522384643555,33.649173736572266,35.464820861816406,33.16282272338867,33.681671142578125,35.04758071899414,31.71382713317871,32.63771057128906,34.965240478515625,32.13338088989258,1
14,0.3771120011806488,0.015583000145852566,1366.274758,725.823794,2092.986066,0.129374,-524.0322875976562,114.1397476196289,0.17304299771785736,2.4615180492401123,24.67683982849121,21.54703712463379,24.52114486694336,17.80845832824707,16.752605438232422,32.43585205078125,28.86931610107422,20.531803131103516,28.477115631103516,27.811105728149414,24.91016387939453,32.148101806640625,29.975276947021484,23.34889793395996,25.62065887451172,27.823650360107422,0
15,0.365433007478714,0.060750000178813934,1423.721707,880.354385,2430.776872,0.114252,-363.2165832519531,119.1806640625,-19.17820167541504,15.07624626159668,29.9710693359375,-0.6486629843711853,16.260787963867188,16.16744041442871,-0.5864729881286621,16.081218719482422,17.93221092224121,9.519444465637207,22.180126190185547,20.485300064086914,12.925494194030762,19.878948211669922,16.736186981201172,14.405630111694336,20.823347091674805,16.005830764770508,0
16,0.6156859993934631,0.017155999317765236,1752.448013,1032.395193,3008.370021,0.20906,-514.0289306640625,69.66571044921875,1.0699540376663208,24.684167861938477,30.46982765197754,17.632854461669922,27.844940185546875,20.547903060913086,16.992198944091797,33.85539245605469,29.111507415771484,22.806480407714844,30.841421127319336,25.711957931518555,23.90179443359375,30.239490509033203,24.998746871948242,25.630338668823242,31.331981658935547,26.692264556884766,1
17,0.5628119707107544,0.00016900000628083944,1600.331269,1046.14441,2879.456488,0.163249,-778.3248901367188,117.18370056152344,8.789793968200684,43.96226501464844,56.67845153808594,28.092769622802734,42.051353454589844,44.37403106689453,32.126487731933594,43.218379974365234,38.48515319824219,29.756351470947266,42.80658721923828,40.13967514038086,31.4346923828125,38.104671478271484,34.76348876953125,31.081090927124023,38.67304229736328,36.60289764404297,0
18,0.45257699489593506,0.013780999928712845,1568.432577,921.868686,2626.86515,0.140882,-476.5211486816406,156.59954833984375,-44.30636215209961,20.171348571777344,44.244422912597656,-0.32229098677635193,20.894573211669922,15.298685073852539,8.646757125854492,44.19513702392578,29.209312438964844,8.703018188476562,27.65949821472168,20.20510482788086,16.231735229492188,30.61249351501465,18.59590721130371,16.23177719116211,25.972862243652344,17.67763328552246,0
19,0.46534600853919983,0.03293300047516823,1130.598944,960.61266,2203.47692,0.068895,-343.5644836425781,190.4161376953125,-51.03398132324219,12.624923706054688,49.365142822265625,-6.206915855407715,9.294798851013184,11.389046669006348,-3.3002688884735107,25.74116325378418,16.050474166870117,-4.794190883636475,21.803857803344727,18.316293716430664,-2.650171995162964,14.316993713378906,17.215116500854492,3.0668649673461914,9.51209831237793,12.437102317810059,1
20,0.45513901114463806,0.0003239999932702631,1075.086151,920.413785,2123.539011,0.080604,-774.3756103515625,197.68861389160156,17.106090545654297,48.72294235229492,47.22185516357422,8.56176471710205,40.63172149658203,35.23348617553711,13.375666618347168,39.767024993896484,35.94105911254883,23.492311477661133,40.747230529785156,31.577281951904297,23.985292434692383,38.632408142089844,30.181495666503906,27.87540054321289,40.842681884765625,32.79130554199219,0
21,0.42131200432777405,0.04694800078868866,1268.202886,811.407151,2123.339468,0.101266,-403.19140625,95.19519805908203,-12.929726600646973,15.582775115966797,28.731294631958008,11.283870697021484,25.479503631591797,16.09092903137207,2.92486310005188,24.688119888305664,27.32855796813965,16.068496704101562,22.050424575805664,21.722145080566406,19.826929092407227,22.388690948486328,15.495506286621094,15.435699462890625,20.088150024414062,15.739949226379395,0
22,0.5514739751815796,0.0017079999670386314,1291.577468,1003.526721,2500.416248,0.175782,-632.4105224609375,67.11457061767578,30.408893585205078,40.89797592163086,40.970977783203125,29.270166397094727,32.02482604980469,28.278718948364258,23.345762252807617,29.71820640563965,29.55738639831543,27.57471466064453,31.61569595336914,30.42932891845703,29.953784942626953,33.331722259521484,31.967575073242188,31.743566513061523,33.117191314697266,31.08940887451172,0
23,0.3763760030269623,0.0556580014526844,1090.490809,698.251562,1843.928978,0.08353,-430.8734130859375,98.83399963378906,3.2484428882598877,17.83188819885254,20.01044464111328,6.205498218536377,24.248409271240234,18.907676696777344,7.681850910186768,23.240739822387695,23.122541427612305,17.870227813720703,25.17889976501465,19.447193145751953,17.515384674072266,25.95420265197754,21.2629337310791,19.012727737426758,22.871946334838867,18.428436279296875,0
24,0.4924130141735077,0.0349310003221035,987.552561,902.926079,2015.763802,0.060662,-442.3028259277344,101.72504425048828,12.9232177734375,27.569252014160156,36.430667877197266,17.576570510864258,22.668853759765625,20.43022918701172,11.50287914276123,19.768264770507812,19.229001998901367,14.23697280883789,19.99447250366211,18.297164916992188,15.530868530273438,19.879648208618164,17.240449905395508,14.382118225097656,16.719446182250977,16.197689056396484,1
25,0.39795199036598206,0.10723599791526794,1015.231123,660.000393,1659.377073,0.083984,-315.61151123046875,162.00531005859375,7.469729900360107,-3.9822580814361572,13.066607475280762,8.159737586975098,18.48512077331543,7.325644016265869,-7.336383819580078,10.13467025756836,12.343948364257812,0.3833720088005066,10.542387962341309,15.642024993896484,7.755839824676514,9.748933792114258,12.204458236694336,10.649131774902344,11.29880142211914,9.714456558227539,1
26,0.5582590103149414,0.01941699907183647,1258.940774,983.49935,2469.416692,0.099006,-488.6636657714844,74.2118911743164,16.84861183166504,20.309738159179688,24.340452194213867,19.390073776245117,25.67039680480957,20.60679817199707,18.018890380859375,29.471830368041992,26.732990264892578,21.518192291259766,29.105913162231445,27.131284713745117,21.084545135498047,24.44991111755371,23.804603576660156,21.089895248413086,22.859088897705078,22.01857566833496,1
